course_name,year,nr_students
Hardware systems modeling I,2015-2016,19
Advanced solid waste treatment,2011-2012,19
Electroacoustique,2018-2019,19
Biomaterials,2009-2010,19
Entrepreneurship (Autumn),2009-2010,19
Hydrodynamique acoustique,2011-2012,19
Science des polymères,2019-2020,19
Energétique appliquée,2005-2006,19
Biomechanics of the musculoskeletal system,2012-2013,19
Introduction au BIM (Building Information Modeling),2019-2020,19
Particules élémentaires I,2007-2008,19
Hardware systems modeling II,2010-2011,19
TP de conception de systèmes numériques,2016-2017,19
Infrastructures de données spatiales,2005-2006,19
Biomatériaux,2010-2011,19
Science des polymères,2017-2018,19
Speech processing,2012-2013,19
Analyse des surfaces + TP,2007-2008,18
Rayonnement et antennes,2018-2019,18
Wireless receivers: algorithms and architectures,2012-2013,18
Composites polymères TP,2009-2010,18
Composites polymères TP,2007-2008,18
Multivariable control and coordination systems,2016-2017,18
Relativistic quantum fields II,2008-2009,18
Multivariable control and coordination systems,2018-2019,18
"État, droit(s) et individus",2008-2009,18
Rayonnement et antennes,2016-2017,18
Computer-supported cooperative work,2010-2011,18
Composites technology,2008-2009,18
Conception de systèmes de production,2008-2009,18
Conception de systèmes de production,2004-2005,18
Analysis and modelling of locomotion,2015-2016,18
Analyse de produits et systèmes,2006-2007,18
A guided tour for engineers in applied stochastic modelling,2013-2014,18
Planification intégrée des infrastructures d'énergie,2014-2015,18
Analytic algorithms,2016-2017,18
Computer simulation of physical systems I,2017-2018,18
Advanced MEMS & microsystems,2011-2012,18
UE E : Architecture et structures,2010-2011,18
Negotiation techniques,2014-2015,18
Political Economy of Design,2017-2018,18
Radiation protection & radiation applications,2014-2015,18
UE I : La représentation comme visualisation et visualisation scientifique,2009-2010,18
Analyse des surfaces + TP,2010-2011,18
Computational molecular biology,2006-2007,18
Nanotechnology I,2012-2013,18
UE B : Critique architecturale II,2006-2007,18
UE J : Territoire et paysage,2015-2016,18
UE I : Analogue-Digital-Virtuel,2014-2015,18
Analog circuits design II,2017-2018,18
Network analytics,2019-2020,18
Computational finance,2015-2016,18
Applied machine learning,2010-2011,18
Analyse des polluants dans l'environnement,2008-2009,18
Analyse des polluants dans l'environnement,2017-2018,18
Analog circuits design II,2015-2016,18
Applied corporate & industry analysis,2017-2018,18
Théorie et critique du projet VII (Jaccaud),2006-2007,18
Composites polymères,2009-2010,18
Théorie et critique du projet MA1 (Weinand),2014-2015,18
Centrales énergétiques (pour EL),2010-2011,18
Biomedical optics,2019-2020,18
"Ceramics, structures and properties + TP",2015-2016,18
Advanced computer graphics,2007-2008,18
"Ceramics, structures and properties + TP",2019-2020,18
Transducteurs et entraînements intégrés,2017-2018,18
Chapitre choisi de géométrie : surfaces minimales,2018-2019,18
Transducteurs et entraînements intégrés,2018-2019,18
Chemical biology ,2016-2017,18
UE P : Béton. Construction et préfabrication,2018-2019,18
Advanced solid waste treatment,2008-2009,18
Advanced composites in engineering structures,2015-2016,18
Théorie et critique du projet MA1 (Ortelli),2010-2011,18
Transportation economics,2019-2020,18
Underground construction technology,2007-2008,18
Théorie et critique du projet MA1 (Gugger),2009-2010,18
Quantitative methods in finance,2009-2010,18
Théorie et critique du projet MA1 (Geers),2017-2018,18
Biomicroscopy I,2010-2011,18
Théorie et critique du projet MA2 (Dietz),2014-2015,18
Public transportation systems,2019-2020,18
Advanced derivatives,2011-2012,18
Cartographie numérique,2007-2008,18
Physique mathématique,2008-2009,18
Théorie et critique du projet MA2 (Weinand),2014-2015,18
Physique mathématique,2009-2010,18
Advanced heat transfer,2016-2017,18
Advanced heat transfer,2018-2019,18
Ville et mobilité,2006-2007,18
Business design for IT services,2018-2019,18
Venture capital,2014-2015,18
Venture capital,2013-2014,18
Variétés différentiables,2004-2005,18
Advanced diffusional separation processes,2017-2018,18
Biotechnologie moléculaire,2004-2005,18
Psychologie cognitive A,2004-2005,18
Biomécanique du système musculosquelettique,2007-2008,18
Advanced nanomaterials,2010-2011,18
Advanced optics,2012-2013,18
Beaux-Arts,2007-2008,18
Théorie et critique du projet MA1 (Dedobbeleer),2018-2019,18
Applied stochastic processes,2008-2009,18
Communication professionnelle,2008-2009,18
Commande d'actionneurs à l'aide d'un microprocesseur + TP,2004-2005,18
Méthodologie d'aide à la décision dans le domaine des transports,2009-2010,18
Télédétection,2012-2013,18
Optics laboratories I,2017-2018,18
Commande d'actionneurs à l'aide d'un microprocesseur + TP,2015-2016,18
Nanobiotechnology and biophysics,2019-2020,18
UE J : Territoire et paysage,2018-2019,18
Commande embarquée de moteurs,2017-2018,18
Compiler construction,2010-2011,18
UE O : Béton. Matière de construction,2017-2018,18
Aquatic ecosystems,2017-2018,18
Wave propagation along transmission lines,2014-2015,18
UE A : Site-specific consolidations on architecture,2018-2019,18
Wave propagation along transmission lines,2016-2017,18
Quantum physics III,2004-2005,18
Complex circuits,2006-2007,18
UE B : Critique architecturale,2007-2008,18
Analog circuits design II,2010-2011,18
Aménagement et gestion du territoire,2013-2014,18
Reactor technology,2011-2012,18
Assemblage et robotique TP,2012-2013,18
Aménagement et gestion du territoire,2008-2009,18
Nonlinear analysis of structures,2019-2020,18
Théorie et critique du projet MA1 (Berger),2009-2010,18
Méthodes des différences et volumes finis,2007-2008,18
Virtual reality,2009-2010,18
Virtual reality,2019-2020,18
Méthodes des différences et volumes finis,2008-2009,18
UE N : Empreintes,2008-2009,18
Méthodes expérimentales en biomécanique,2019-2020,18
Water quality modeling,2006-2007,18
Atomistic and quantum simulations of materials,2015-2016,18
UE N : Art et architecture II,2012-2013,18
Méthodes mathématiques de la physique,2008-2009,18
Astrophysique II : bases physiques de l'astrophysique,2009-2010,18
Optimization and simulation,2009-2010,18
Astrophysique II : bases physiques de l'astrophysique,2004-2005,18
Advanced analog and RF integrated circuits design I,2014-2015,18
Algèbres de Lie semi-simples,2008-2009,18
Astrophysique III : Cosmologie observationnelle,2004-2005,18
Technologie des microstructures III,2004-2005,18
Conception mécanique II,2007-2008,18
Management de projet,2007-2008,18
Imagerie du territoire,2012-2013,18
Economics of Innovation,2014-2015,18
Optoélectronique,2004-2005,18
Image processing ,2005-2006,18
Materials for sport,2012-2013,18
Image and video processing,2012-2013,18
Ecotoxicology,2012-2013,18
Image and video processing,2010-2011,18
Image and video processing,2005-2006,18
TP en conversion d'énergie,2014-2015,18
Image analysis and pattern recognition,2015-2016,18
Image analysis and pattern recognition,2007-2008,18
Identification et commande II,2004-2005,18
TP de conception de systèmes numériques,2017-2018,18
IC design II,2014-2015,18
Microélectronique et microsystèmes labos II,2008-2009,18
Electromécanique II,2007-2008,18
Microélectronique et microsystèmes labos I,2008-2009,18
Electromécanique II,2011-2012,18
Mathematical modelling of behavior,2012-2013,18
Electron microscopy: advanced methods,2015-2016,18
Rings and modules,2016-2017,18
Mathematical modelling of behavior,2016-2017,18
Microsystèmes et capteurs TP II,2013-2014,18
Procédés de séparation aux étages d'équilibre,2004-2005,18
Techniques d'assemblage I,2008-2009,18
Imagery of territory,2013-2014,18
Stochastic calculus for Finance,2009-2010,18
Information technology and e-business strategy,2009-2010,18
Sciences de la ville I,2007-2008,18
Sciences de la ville I,2006-2007,18
Management de projet et analyse du risque,2014-2015,18
Innosuisse Business Concept,2017-2018,18
Dynamical system theory for engineers,2011-2012,18
Informatique du temps réel,2010-2011,18
Dynamical system theory for engineers,2014-2015,18
Représentations de groupes finis,2010-2011,18
Dynamique des structures - Méthodes numériques,2008-2009,18
Statistics for genomic data analysis,2008-2009,18
Scaling laws & simulations in micro & nanosystems,2018-2019,18
Marketing and service management,2008-2009,18
Micro-économie,2009-2010,18
Particules élémentaires II,2005-2006,18
Déformation et rupture à basse température,2009-2010,18
Industrial automation,2013-2014,18
Particules élémentaires II,2007-2008,18
Modelling and optimization of energy systems,2016-2017,18
Particules élémentaires II,2008-2009,18
In silico neuroscience,2019-2020,18
Immunology,2018-2019,18
Restructuration des réseaux et dérégulation,2009-2010,18
Restructuration des réseaux et dérégulation,2010-2011,18
Early detection of technological innovation potential,2008-2009,18
Microsystèmes et capteurs TP I,2013-2014,18
Histoire de l'architecture VIII,2008-2009,18
Structures 3D à parois minces,2008-2009,18
Methods for rapid production and development,2012-2013,18
Sublinear algorithms for big data analysis,2018-2019,18
Microelectronics,2013-2014,18
Supply chain management,2011-2012,18
Systèmes multivariables II,2004-2005,18
Microelectronics,2008-2009,18
Power electronics,2016-2017,18
Evolutionary robotics,2018-2019,18
Systèmes hydrauliques urbains,2009-2010,18
Power system restructuring and deregulation,2012-2013,18
Experimental design and data analysis with R,2016-2017,18
Power system restructuring and deregulation,2016-2017,18
Fundamentals of VLSI design,2017-2018,18
Entrepreneurship (Spring),2008-2009,18
Exploitation ferroviaire,2017-2018,18
Functional materials in communication systems,2013-2014,18
Fate and behaviour of organic pollutants,2010-2011,18
Systèmes de télécommunications,2015-2016,18
Filières de conversion d'énergie,2004-2005,18
Filtres électriques,2005-2006,18
Systèmes de management environnementaux,2016-2017,18
Power systems dynamics,2016-2017,18
Micro-usinage par Laser,2010-2011,18
Financial & managerial accounting,2015-2016,18
Financial applications of blockchains and distributed ledgers,2017-2018,18
Gestion de la maintenance des infrastructures,2014-2015,18
Entrepreneurship (Autumn),2008-2009,18
High-tech marketing,2005-2006,18
Géovisualisation environnementale,2011-2012,18
High-tech marketing,2004-2005,18
Heterogenous reaction engineering,2019-2020,18
Eléments d'homotopie,2005-2006,18
Hardware systems modeling II,2016-2017,18
Hardware systems modeling II,2015-2016,18
Hardware systems modeling II,2011-2012,18
Hardware systems modeling I,2013-2014,18
Haptic human robot interfaces,2017-2018,18
Risk management,2015-2016,18
HF and VHF circuits and techniques II,2014-2015,18
Risk management,2018-2019,18
Géométrie des groupes,2005-2006,18
Gestion des risques,2008-2009,18
Embedded systems,2005-2006,18
Réseaux hydrauliques et énergétiques,2014-2015,18
Empirical methods in Finance,2009-2010,18
Matériaux divisés,2010-2011,18
Génie parasismique,2004-2005,18
Génie des bioprocédés environnementaux,2009-2010,18
Globalisation et régionalisation,2007-2008,18
Matériaux pierreux et conservation du patrimoine bâti,2012-2013,18
Gestion foncière et droit foncier,2014-2015,18
Gestion du régime hydrique des sols I,2004-2005,18
Gestion des risques,2009-2010,18
Particle-based methods,2015-2016,18
Model-based system design,2013-2014,18
Sociologie urbaine,2018-2019,18
Introduction à l'analyse fonctionnelle,2006-2007,18
Snow Hydrology,2009-2010,18
Introduction to particle accelerators,2017-2018,18
Polymer physical chemistry and materials properties,2013-2014,18
Introduction to particle accelerators,2011-2012,18
Software development project,2011-2012,18
Decision-aid methodologies in transportation,2017-2018,18
Process development project,2017-2018,18
Introduction to econometrics,2017-2018,18
Introduction to econometrics,2015-2016,18
Reliability of MEMS,2010-2011,18
Introduction to cellular and molecular biotechnology,2016-2017,18
Deformation and fracture Laboratory Work,2011-2012,18
Technology & innovation management (a),2012-2013,18
Machine learning (EDOC),2006-2007,18
Process development II,2017-2018,18
Solid waste engineering,2019-2020,18
Process development I,2017-2018,18
Design of experiments (c) - Spring semester,2012-2013,18
Modélisation des systèmes de transports,2017-2018,18
Physique des matériaux ,2010-2011,18
Introduction au traitement optique,2010-2011,18
Remédiation des sites,2008-2009,18
Modélisation des matériaux,2015-2016,18
Data analysis and model classification,2017-2018,18
Introduction à l'analyse fonctionnelle,2008-2009,18
Design technologies for integrated systems,2006-2007,18
Cycle de vie des polymères,2006-2007,18
Conception pour X,2004-2005,18
Conception pour X,2015-2016,18
"Organisation, économie et droit de la construction II",2016-2017,18
Conception pour X,2017-2018,18
"Concours bureaux d'étude, histoire et actualité",2009-2010,18
Life cycle engineering of polymers,2019-2020,18
Conformal Field theory and Gravity,2017-2018,18
Lasers and optics of nanostructures,2012-2013,18
Selected topics in advanced optics,2019-2020,18
Sensors in medical instrumentation,2012-2013,18
Signal processing  for audio and acoustics,2010-2011,18
Outils d'analyse socio-spatiale,2008-2009,18
Corrosion et protection des métaux,2009-2010,18
Corrosion et protection des métaux,2010-2011,18
Localisation par satellites,2005-2006,18
"Organisation, économie et droit de la construction II",2008-2009,18
Introduction à la théorie de nombres,2005-2006,18
Thermal power cycles and heat pump systems,2015-2016,18
Introduction à la méthode des éléments finis,2007-2008,18
Coxeter groups,2018-2019,18
Credit risk,2011-2012,18
Introduction à l'analyse fonctionnelle,2010-2011,18
Relativité et cosmologie II,2006-2007,18
Introduction au marketing et à la finance,2008-2009,18
Financial econometrics,2019-2020,18
Instabilité et turbulence,2009-2010,18
Distribution de l'énergie électrique,2015-2016,18
Integrated circuits technology,2010-2011,18
Dimensionnement des infrastructures de transport,2007-2008,18
Instrumentation bio-optique,2006-2007,18
Interaction sol-structure,2008-2009,18
Interactive conceptual design of structural forms,2018-2019,18
Special seminar in management of technology I,2005-2006,18
Selected topics in mechanics of solids and structures,2010-2011,18
Modélisation des matériaux,2007-2008,18
Technologie et mise en oeuvre des polymères,2007-2008,18
Dielectric and optical properties of materials,2011-2012,18
Design technologies for integrated systems,2016-2017,18
Technologie des microstructures II,2008-2009,18
Digital 3D geometry processing,2010-2011,18
Dispositifs électroniques à semi-conducteurs,2005-2006,18
Modélisation des matériaux,2010-2011,18
Technologie et mise en oeuvre des polymères,2010-2011,18
Nanobiotechnology and biophysics,2016-2017,17
Architectures de systèmes de traitement de l'information,2005-2006,17
Reactor Experiments,2010-2011,17
Genomics and bioinformatics,2017-2018,17
Studio MA2 (Streich),2013-2014,17
Summer School on Micro and Optical Technologies in Biomedical Science (2018),2018-2019,17
Media security,2006-2007,17
Pharmacology and pharmacokinetics,2018-2019,17
Gestion de la maintenance des infrastructures,2006-2007,17
Signal processing for functional brain imaging,2017-2018,17
Artificial organs and systems,2012-2013,17
Phénomènes non linéaires et chaos II,2006-2007,17
Signal processing for functional brain imaging,2012-2013,17
Imaging optics,2017-2018,17
Scientific project design in translational neurosciences,2019-2020,17
Gestion de la maintenance des infrastructures,2017-2018,17
Lab on app development for tablets and smartphones,2014-2015,17
Advanced analog and RF integrated circuits design I,2009-2010,17
Géologie de l'environnement,2004-2005,17
Pharmaceutical biotechnology,2016-2017,17
Matériaux divisés,2009-2010,17
Introduction à la physique des astroparticules,2005-2006,17
Introduction à la physique des astroparticules,2007-2008,17
Nanotechnology,2013-2014,17
Introduction à la théorie analytique des nombres,2016-2017,17
Speech processing,2007-2008,17
Génie des bioprocédés environnementaux,2007-2008,17
Pharmacological chemistry,2016-2017,17
Wave propagation along transmission lines,2013-2014,17
Integrated circuits technology,2014-2015,17
Lab in electrical energy systems,2013-2014,17
Scientific project design in translational neurosciences,2018-2019,17
Matériaux pour le sport,2006-2007,17
"Wood structures, properties and uses",2016-2017,17
Reactor Experiments,2014-2015,17
Reactor technology,2010-2011,17
Assemblage et robotique TP,2008-2009,17
Tribologie,2008-2009,17
Selected topics in nuclear and particle physics,2005-2006,17
Advanced probability,2014-2015,17
Fracture mechanics,2012-2013,17
Fourier and wavelet signal processing,2010-2011,17
Life cycle engineering of polymers,2017-2018,17
Foundations of imaging science,2012-2013,17
Tribology,2013-2014,17
Tribologie,2009-2010,17
Advanced probability,2011-2012,17
Optimization and simulation,2010-2011,17
Travaux souterrains,2018-2019,17
Micro and nanostructuration of materials + TP,2012-2013,17
Life cycle engineering of polymers,2013-2014,17
Statistical neurosciences,2012-2013,17
Audio,2019-2020,17
"Organisation, économie et droit de la construction II",2015-2016,17
VLSI design II,2011-2012,17
Audio I,2004-2005,17
Méthodes multivariées,2006-2007,17
Fracture mechanics,2016-2017,17
Nuclear fusion and plasma physics,2014-2015,17
Assembly techniques,2018-2019,17
Optimisation expérimentale des matériaux,2010-2011,17
Conception mécanique intégrée,2017-2018,17
Wave propagation along transmission lines,2005-2006,17
Sensors in medical instrumentation,2013-2014,17
Particle-based methods,2016-2017,17
Supraconductivité I,2007-2008,17
Assembly techniques,2011-2012,17
Type systems,2006-2007,17
Fundamentals of biomedical imaging,2013-2014,17
Advanced probability and applications,2015-2016,17
Two-phase flows and heat transfer,2008-2009,17
Urbanisme et territoires,2017-2018,17
Two-phase flows and heat transfer,2004-2005,17
Seminar series on advances in materials (spring),2016-2017,17
Urbanisme et territoires,2018-2019,17
Selected topics in nuclear and particle physics,2007-2008,17
Méthodes numériques en thermique,2007-2008,17
Advanced methods in computational solid mechanics,2011-2012,17
Géomécanique,2014-2015,17
Management of industrial production,2012-2013,17
Statistical theory,2009-2010,17
Advanced derivatives,2010-2011,17
Strategic marketing & technology commercialization,2011-2012,17
Industrial automation,2006-2007,17
Aménagements hydrauliques II,2008-2009,17
Process development I,2019-2020,17
Advanced diffusional separation processes,2013-2014,17
Sanitary engineering in developing countries,2017-2018,17
Neurosciences II : cellular mechanisms of brain function,2017-2018,17
Industrial automation,2017-2018,17
Neurosciences I : molecular neuroscience and neurodegeneration,2017-2018,17
Hydrogeophysics,2010-2011,17
Analog circuits design II,2007-2008,17
Analog circuits design II,2009-2010,17
Advanced databases,2009-2010,17
Identification et commande I,2004-2005,17
UE O : Béton. Matière de construction,2018-2019,17
Hydropower plants: generating and pumping units,2017-2018,17
Hydrogeophysics,2017-2018,17
Analog circuits design II,2016-2017,17
Physique statistique II,2011-2012,17
Algèbres de Lie,2010-2011,17
Algèbres de Lie,2006-2007,17
Neutronics,2010-2011,17
Algebra for digital communications,2004-2005,17
Safety of chemical processes,2017-2018,17
UE N : Art et architecture: constructing the view II,2015-2016,17
Mass spectrometry,2015-2016,17
Aerial robotics,2018-2019,17
Mass spectrometry,2016-2017,17
Introduction au traitement des signaux biomédicaux,2005-2006,17
UE M : Espace et lumière,2010-2011,17
UE M : Espace et lumière,2009-2010,17
Numerical flow modelling,2006-2007,17
Algebraic number theory,2019-2020,17
Stem cell biology and technology,2013-2014,17
UE L : Dessin  d'architecture et infographie,2007-2008,17
Advanced digital communications,2013-2014,17
Optics III,2007-2008,17
Algorithms,2006-2007,17
Stochastic models in communications and computer science,2005-2006,17
Introduction to crystal growth by epitaxy,2015-2016,17
UE J : Territoire et paysage,2012-2013,17
Matériaux de construction + TP,2019-2020,17
UE H : Architecture en mouvement,2005-2006,17
"Organic electronic materials - synthesis, applications, properties",2019-2020,17
Analyse fonctionnelle,2005-2006,17
Advanced chemical reaction engineering,2005-2006,17
Haute tension,2005-2006,17
Numerical approximation of PDE's I,2014-2015,17
Qualité de l'environnement intérieur II,2006-2007,17
Hardware systems modeling II,2012-2013,17
Advanced analysis II,2015-2016,17
Optical signal processing,2008-2009,17
Hydrodynamique acoustique,2014-2015,17
Haptic human robot interfaces,2015-2016,17
Organic semiconductors,2014-2015,17
Haptic human robot interfaces,2014-2015,17
Organic and printed electronics,2019-2020,17
Matériaux biomimétiques,2010-2011,17
HF and VHF circuits and techniques II,2011-2012,17
Introduction à la microscopie + TP,2011-2012,17
Principles of microeconomics,2010-2011,17
Numerical methods in biomechanics,2017-2018,17
Performance evaluation,2016-2017,17
Manufacturing systems and supply chain dynamics,2018-2019,17
Histoire économique et sociale,2004-2005,17
Advanced topics on privacy enhancing technologies,2019-2020,17
Hydraulique fluviale et aménagement de cours d'eau,2005-2006,17
UE I : La représentation comme visualisation et visualisation scientifique,2006-2007,17
UE I : Analogue-Digital-Virtuel,2015-2016,17
Private equity,2010-2011,17
Interactive conceptual design of structural forms,2017-2018,17
Statistiques multivariables avec R,2019-2020,17
Hydraulic turbomachines,2005-2006,17
Industrial electronics II,2014-2015,17
Industry analysis and trends,2006-2007,17
Advanced topics in financial econometrics,2014-2015,17
Mathematical modelling of behavior,2015-2016,17
Instability and turbulence,2012-2013,17
Advanced compiler construction,2015-2016,17
Homotopie et homologie,2010-2011,17
Optimal decision analysis,2011-2012,17
Statistique mathématique,2004-2005,17
VLSI design II,2012-2013,17
Selected topics in mechanics of solids and structures,2012-2013,17
Systèmes de transports,2018-2019,17
Techniques d'assemblage II,2007-2008,17
Economie des transports,2010-2011,17
Economie des transports,2009-2010,17
Economie d'innovation,2004-2005,17
Economics of innovation in the biomedical industry,2016-2017,17
Cavitation et phénomènes d'interface,2010-2011,17
Econometrics: data analysis & empirical methods,2013-2014,17
Techniques d'assemblage I,2007-2008,17
Théorie et critique du projet MA2 (Huang),2019-2020,17
Théorie et critique du projet MA2 (Gugger),2009-2010,17
Centrales énergétiques,2006-2007,17
Représentations de groupes,2004-2005,17
Early detection of innovation potential,2014-2015,17
Techniques d'assemblage II,2008-2009,17
Développements en économie des transports,2017-2018,17
"Ceramics, properties",2009-2010,17
Modelling the immune system,2006-2007,17
Déformation et rupture TP,2005-2006,17
Dynamique numérique des solides et des structures,2017-2018,17
Dynamique moléculaire et simulation Monte-Carlo,2010-2011,17
Théorie et critique du projet MA2 (Berger),2011-2012,17
Caractères de groupes finis,2006-2007,17
Real-time embedded systems,2019-2020,17
Elaboration des céramiques et des colloïdes +TP,2019-2020,17
Calcul quantique,2017-2018,17
Microscopie électronique TP,2009-2010,17
Méditerranée : mythes et grands textes fondateurs,2004-2005,17
Traitement des eaux usées industrielles,2008-2009,17
Biophysics II,2010-2011,17
Eléments de cheminformatique,2008-2009,17
Mécatronique,2009-2010,17
Traitement avancé des eaux usées,2006-2007,17
Topométrie,2013-2014,17
Topologie algébrique,2018-2019,17
Politiques publiques et politiques de l'environnement,2008-2009,17
Electronique industrielle II,2005-2006,17
Building design in the circular economy,2018-2019,17
Physique moléculaire,2007-2008,17
Electron microscopy: advanced methods,2011-2012,17
Electromécanique II,2010-2011,17
Mécanique quantique pour ingénieurs I,2007-2008,17
Mécanique quantique pour ingénieurs I,2004-2005,17
Mécanique numérique des solides et des structures,2010-2011,17
Mécanique numérique des solides et des structures,2008-2009,17
Models of biological sensory-motor systems,2007-2008,17
Dynamical system theory for engineers,2013-2014,17
Energy conversion,2009-2010,17
Computational linear algebra,2016-2017,17
Technology strategy and entrepreneurship in corporations,2005-2006,17
Decision-aid methodologies in transportation,2016-2017,17
Tenseurs et formes différentielles,2007-2008,17
Cycle de vie des polymères,2005-2006,17
Computational cell biology,2019-2020,17
Theory of materials: from structures to properties,2015-2016,17
Theory of materials: from structures to properties,2016-2017,17
Theory of materials: from structures to properties,2019-2020,17
Computational linear algebra,2015-2016,17
Computational linguistics,2009-2010,17
Théorie et critique du projet MA1 (Lamunière),2015-2016,17
Corrélations et prévisions,2007-2008,17
Corrosion et protection des métaux + TP,2019-2020,17
Corporate strategy,2018-2019,17
Polymer physical chemistry and materials properties,2011-2012,17
Conversion d'énergie,2018-2019,17
Contrôle stochastique,2004-2005,17
Construction en bois II,2009-2010,17
Concepts in ecological engineering,2013-2014,17
Conception interactive des formes structurales,2016-2017,17
Communications optiques,2005-2006,17
Reliability of MEMS,2009-2010,17
Commande de procédés,2012-2013,17
Physique des neutrons,2005-2006,17
Chemical engineering lab & project,2014-2015,17
Chemical engineering lab & project,2016-2017,17
Dynamical system theory for engineers,2008-2009,17
Théorie et critique du projet MA1 (Jaccaud),2008-2009,17
Chemical engineering of heterogenous reaction,2012-2013,17
Dynamical system theory for engineers,2007-2008,17
"Droit de l'architecte II, approfondissement : la réalisation d'une construction",2010-2011,17
Modulation et transmission,2005-2006,17
Modèles de décision,2007-2008,17
Dispositifs et structures analogiques,2011-2012,17
Dimensionnement des infrastructures de transport,2004-2005,17
Chimie préparative III,2004-2005,17
Théorie et critique du projet MA1 (Berger),2008-2009,17
Design technologies for integrated systems,2013-2014,17
Design technologies for integrated systems,2012-2013,17
Design of experiments (c) - Spring semester,2017-2018,17
Remote sensing of the Earth by satellites,2008-2009,17
Color imaging,2005-2006,17
Physique des matériaux I,2005-2006,17
"Risk, rare events and extremes",2019-2020,17
Economics of Innovation,2010-2011,17
Entrepreneurship & new venture strategy,2017-2018,17
Automatic speech processing,2010-2011,17
Systèmes hybrides,2011-2012,17
Systèmes embarqués microprogrammés,2018-2019,17
Transformations de phases I,2009-2010,17
Transducteurs et entraînements intégrés,2004-2005,17
Transformations de phase,2019-2020,17
Systèmes multivariables II,2008-2009,17
Energétique avancée et moteurs,2005-2006,17
Filière de conversion,2006-2007,17
Physical chemistry of polymeric materials,2019-2020,17
Filière de conversion,2004-2005,17
Systèmes hybrides I,2005-2006,17
Microelectronics,2017-2018,17
Bioanalytics and analytical sensors,2007-2008,17
Biomechanics of the musculoskeletal system,2011-2012,17
Experimental data analysis and modelization,2012-2013,17
Biomaterials,2015-2016,17
Audio II,2007-2008,17
Exploitation ferroviaire,2011-2012,17
Méthodes de détection optique,2008-2009,17
Automatic speech processing,2016-2017,17
Transport et télématique,2012-2013,16
Théorie et critique du projet MA1 (Gugger),2008-2009,16
Distribution de l'énergie électrique,2017-2018,16
Chimie des denrées alimentaires,2013-2014,16
Distribution de l'énergie électrique,2016-2017,16
Fundamentals of biomedical imaging,2011-2012,16
Théorie et critique du projet MA1 (Berger),2011-2012,16
Speech processing,2014-2015,16
Théorie et critique du projet MA1 (Claus),2012-2013,16
Energy geostructures,2018-2019,16
Speech processing,2004-2005,16
Technologie des microstructures II,2013-2014,16
Sciences de la ville II,2008-2009,16
Machines électriques (pour EL),2019-2020,16
Power system restructuring and deregulation,2019-2020,16
Advanced digital communications,2014-2015,16
Spatial statistics and analysis,2008-2009,16
Théorie des réacteurs,2012-2013,16
Fundamentals & processes for photovoltaic devices,2011-2012,16
Introduction au traitement des signaux biomédicaux,2004-2005,16
Circuits et techniques HF et VHF II,2009-2010,16
Fundamentals & processes for photovoltaic devices,2016-2017,16
Spectroscopie analytique,2010-2011,16
Introduction au droit et à l'éthique en STV,2012-2013,16
Interfaces in biology and nanoscience,2017-2018,16
Interfaces in biology and nanoscience,2013-2014,16
VLSI design II,2010-2011,16
Power system restructuring and deregulation,2018-2019,16
Fundamentals of biomedical imaging,2006-2007,16
Reactor technology,2013-2014,16
Experimental data analysis and modelization,2010-2011,16
VLSI design II,2009-2010,16
Advanced solid mechanics,2019-2020,16
Périphériques,2007-2008,16
Physique statistique des biomacromolécules,2006-2007,16
Supramolecular aspects of polymeric materials,2010-2011,16
Management of industrial production,2014-2015,16
Dynamique des réseaux,2010-2011,16
Chemical biology ,2015-2016,16
Théorie et critique du projet MA1 (Weinand),2012-2013,16
Statistics of extremes,2009-2010,16
Probabilités avancées,2009-2010,16
Information technology and e-business strategy,2013-2014,16
Advanced solid waste treatment,2009-2010,16
Dynamique moléculaire et simulation Monte-Carlo,2006-2007,16
Satellite communications  systems and networks,2012-2013,16
Satellite communications  systems and networks,2011-2012,16
Principles of finance (jusqu'en 2012),2010-2011,16
Méthodes de détection optique,2012-2013,16
Périphériques,2006-2007,16
Principles of computer systems,2014-2015,16
Particle-based methods,2018-2019,16
Swarm intelligence,2007-2008,16
Advanced nanomaterials,2009-2010,16
Statistical physics III,2017-2018,16
Statistical physics of biomacromolecules,2011-2012,16
Combinatorial optimization,2009-2010,16
Technological Innovation,2019-2020,16
Technological Innovation,2017-2018,16
Techniques ferroviaires,2011-2012,16
Advanced probability and applications,2017-2018,16
Chemical engineering of heterogenous reaction,2015-2016,16
Méthodes de développement et de production rapides,2009-2010,16
Principles and applications of systems biology,2013-2014,16
Nuclear fusion and plasma physics,2016-2017,16
Real-time networks,2011-2012,16
Systèmes hybrides,2012-2013,16
Nuclear fusion and plasma physics,2013-2014,16
Process development I,2012-2013,16
Process development II,2012-2013,16
Design of experiments (a) - Fall semester,2019-2020,16
Bio-ingénierie des cours d'eau et milieux naturels,2015-2016,16
Morphologie I,2018-2019,16
Phénomènes non linéaires et chaos II,2008-2009,16
Systèmes de transports II,2009-2010,16
"Wood structures, properties and uses",2013-2014,16
Corporate strategy,2012-2013,16
Tribologie,2004-2005,16
Computer aided verification,2005-2006,16
Photonic systems and technology,2012-2013,16
Computational photography,2015-2016,16
Computational multi-scale modeling of solids,2018-2019,16
Advanced VLSI design,2015-2016,16
Corrélations et prévisions,2006-2007,16
Advanced VLSI design,2016-2017,16
